Name of vessel,RS No,IMO No,Previous name,Call sign,Port of registry,Flag,RS Class notation,Major conversion/modernization,Basic type,Date of build,Country of build,Building number,Date of Build Major Portion,Major Portion,Gross tonnage,Tonnage,Deadweight,Displacement,Length overall (extreme),Moulded lenght,Rule length,Breadth,Depth,Draught,Speed,Type of power plant,Main Engine,The number and power of propulsion motors,"Propeller number, type",Number of blades,Number and power of generators,Main boilers,Refrigerating plant,Working temperature,Refrigerants,Radio navigational equipment,Number and capacity of cargo holds,Refrigerated cargo spaces,Cargo tanks,Number and type of containers,Number of decks,Number o bulkheads,"Number of passengers, berthed","Number of passengers, unberthed",Special personnel,Cargo hatches (number and clear dimensions),Derricks,Cranes,FO bunkers,FO types,Water ballast,Heating coils,Equipment Number,Grade of anchor chains,Diameter of anchor chains,Owner,Shipowner,Operator,ISM Manager,MLC Shipowner
TALAS,131122,9787950,ISA,UNIS,Aktau,Kazakhstan,KM* R2 AUT3 tug,,Tug,07/12/2016,The Netherlands,571705,,,218 MK-1969,65 MK-1969,70.000 t.,394 t.,27.02 m.,27.02 m.,23.94 m.,9.10 m.,3.60 m.,2.65 m.,11.0,Diesel,Built ME: 2016 Country Construction: United States of America The company has built ME: The number and power of ME: 2*1119 Mark ME: 3512C,,2 - Fixed pitched solid propeller,4,2* 75,,,,,"Automatic identification system COSPAS-SARSAT Satellite emergency position-indicating radio beacon Depth sounder Enhanced group call receiver Gyro-compass Heading or Track Control System (Autopilot) Log (any type) Magnetic compass MF Radioinstallation (MF radio-telephone station with digital selective calling) NAVTEX receiver Radar Radio navigation system receiver Search and Rescue Radar Transpoder, AIS Search and Rescue Transmitting Heading Device Two-way radio-telephone apparatus VHF Radioinstallation (VHF radio-telephone station with digital selective calling) VHF radio-telephone station",,,,,1,5,,,,,,1*16.0,125,Diesel oil,,,105,Cat2,19.0,"""Al Hilal"" Islamic Bank"" JSC  Address: Respublika Kazakhstan, 050040 Almaty, Medeuskiy r-n, pr. Aly-Farabi, 77/7, n.p. 13a, 14 et. IMO: Email: info@alhilalbank.kz Company Website:","""National Maritime Shipping Company ""Kazmortransflot"" Limited Liability Partnership  Address: Kazakhstan, 130000 Aktau, mkrn. 14, zd. № 70 IMO: 5176886 Email: info@kmtf.kz Company Website:","""National Maritime Shipping Company ""Kazmortransflot"" Limited Liability Partnership  Address: Kazakhstan, 130000 Aktau, mkrn. 14, zd. № 70 IMO: 5176886 Email: info@kmtf.kz Company Website:","""National Maritime Shipping Company ""Kazmortransflot"" Limited Liability Partnership  Address: Kazakhstan, 130000 Aktau, mkrn. 14, zd. № 70 IMO: 5176886 Email: info@kmtf.kz Company Website:",
EMBA,131137,9787962,,UNIR,Aktau,Kazakhstan,KM* R2 AUT3 tug,,Tug,08/09/2017,The Netherlands,571706,,,218 MK-1969,65 MK-1969,70.000 t.,394 t.,27.02 m.,27.02 m.,23.94 m.,9.10 m.,3.60 m.,2.65 m.,11.0,Diesel,Built ME: 2017 Country Construction: United States of America The company has built ME: The number and power of ME: 2*1119 Mark ME: 3512C,,2 - Fixed pitched solid propeller,4,2* 75,,,,,"Automatic identification system COSPAS-SARSAT Satellite emergency position-indicating radio beacon Depth sounder Enhanced group call receiver Gyro-compass Heading or Track Control System (Autopilot) Log (any type) Magnetic compass MF Radioinstallation (MF radio-telephone station with digital selective calling) NAVTEX receiver Radar Radio navigation system receiver Search and Rescue Radar Transpoder, AIS Search and Rescue Transmitting Heading Device Two-way radio-telephone apparatus VHF Radioinstallation (VHF radio-telephone station with digital selective calling) VHF radio-telephone station",,,,,1,5,0,0,0,,,1*16.0,125,Diesel oil,0 m3,,105,Cat2,19.0,"""Al Hilal"" Islamic Bank"" JSC  Address: Respublika Kazakhstan, 050040 Almaty, Medeuskiy r-n, pr. Aly-Farabi, 77/7, n.p. 13a, 14 et. IMO: Email: info@alhilalbank.kz Company Website:","""National Maritime Shipping Company ""Kazmortransflot"" Limited Liability Partnership  Address: Kazakhstan, 130000 Aktau, mkrn. 14, zd. № 70 IMO: 5176886 Email: info@kmtf.kz Company Website:","""National Maritime Shipping Company ""Kazmortransflot"" Limited Liability Partnership  Address: Kazakhstan, 130000 Aktau, mkrn. 14, zd. № 70 IMO: 5176886 Email: info@kmtf.kz Company Website:","""National Maritime Shipping Company ""Kazmortransflot"" Limited Liability Partnership  Address: Kazakhstan, 130000 Aktau, mkrn. 14, zd. № 70 IMO: 5176886 Email: info@kmtf.kz Company Website:",
RUS,170733,9848728,,UBCT6,Bolshoy port of St.-Petersburg,Russia,KM(*) Ice2 AUT3 (REF) fishing vessel,,Fishing,30/05/2020,Russia,402,,,1208 MK-1969,362 MK-1969,782.000 t.,1934 t.,50.45 m.,50.45 m.,46.51 m.,12.36 m.,7.60 m.,5.40 m.,12.0,Diesel,Built ME: 2018 Country Construction: Finland The company has built ME: WARTSILA FINLAND OY The number and power of ME: 1*1200 Mark ME: 6L 20,,1 - Controllable pitch propeller,4,4* 1886,,(REF)*,+3,R134A,"Automatic identification system Bridge navigational watch alarm system COSPAS-SARSAT Satellite emergency position-indicating radio beacon Depth sounder Equipment of Long-range identification and Tracking of Ships Gyro-compass Heading or Track Control System (Autopilot) Log (any type) Magnetic compass MF/HF radio installation (MF/HF radio-telephone station with digital selective calling and telex) NAVTEX receiver Public address system Radar Radio navigation system receiver Search and Rescue Radar Transpoder, AIS Search and Rescue Sound reception system Two-way radio-telephone apparatus VHF Radioinstallation (VHF radio-telephone station with digital selective calling)",,,,,3,3,,,,,,1*2.1 1*3.6,276,Diesel oil,126 m3,,456,Cat2,34.0,"ANTEY, LLC  Address: Russia, 690039 Vladivostok, ul. Eniseyskaya, d.23D, pom.7 (4 etazh). IMO: 1678615 Email: office@crabfish.ru Company Website:",,,,
RIM-MOSKVA,170748,9838266,,UBJS4,Murmansk,Russia,KM(*) Ice2 R2 AUT1 FF3WS tug,,Tug,17/07/2019,Italy,871,,,434 MK-1969,130 MK-1969,247.000 t.,774 t.,32.00 m.,32.00 m.,28.99 m.,10.00 m.,6.00 m.,4.50 m.,13.9,Diesel,Built ME: 2017 Country Construction: Germany The company has built ME: Rolls-Royce Solutions GmbH The number and power of ME: 2*2000 Mark ME: 16V4000M63R,,2 - Swingning propeller unit,4,2* 112,,,,,"Automatic identification system with GLONASS Bridge navigational watch alarm system COSPAS-SARSAT Satellite emergency position-indicating radio beacon Depth sounder Equipment of Long-range identification and Tracking of Ships Heading or Track Control System (Autopilot) Log (any type) Magnetic compass MF Radioinstallation (MF radio-telephone station with digital selective calling) NAVTEX receiver Public address system Radar Radio navigation system receiver Search and Rescue Radar Transpoder, AIS Search and Rescue Sound reception system Two-way radio-telephone apparatus VHF Radioinstallation (VHF radio-telephone station with digital selective calling) VHF radio-telephone station",,,,,4,5,,,,,,1*5.0,162,Diesel oil,80 m3,,190,Cat2,22.0,"RUSSIAN FEDERATION  Address: Russia, Moscow IMO: 1253128 Email: Company Website:","Severo-Zapadnyy tsentr po obrashcheniyu s radioaktivnymi otkhodami ""SevRAO"" - filial federalnogo gosudarstvennogo unitarnogo predpriyatiya ""Federalnyy ekologicheskiy operator""  Address: Russia, 183017 Murmansk, ul.Lobova, d.100 IMO: Email: sevrao@aspol.ru Company Website:","Severo-Zapadnyy tsentr po obrashcheniyu s radioaktivnymi otkhodami ""SevRAO"" - filial federalnogo gosudarstvennogo unitarnogo predpriyatiya ""Federalnyy ekologicheskiy operator""  Address: Russia, 183017 Murmansk, ul.Lobova, d.100 IMO: Email: sevrao@aspol.ru Company Website:",,
KOLA,010623,9217979,FAIR TRADER,UBDQ5,Murmansk,Russia,KM* AUT1 LI IGS-IG VCS COW FSO (ESP),,Oil tanker,17/08/2001,Korea,1320,,,157883 MK-1969,109555 MK-1969,309327.000 t.,352990 t.,334.59 m.,334.59 m.,321.69 m.,58.00 m.,31.00 m.,22.70 m.,16.5,Diesel,"Built ME: 2001 Country Construction: Korea The company has built ME: HYUNDAI HEAVY INDUSTRIES CO.,LTD The number and power of ME: 1*25485 Mark ME: 7S80MC",,1 - Fixed pitched solid propeller,4,3* 980 1* 250,,,,,"Automatic identification system with GLONASS Bridge navigational watch alarm system COSPAS-SARSAT Satellite emergency position-indicating radio beacon Depth sounder NAVTEX receiver Public address system Radar Radio navigation system receiver Search and Rescue Radar Transpoder, AIS Search and Rescue Two-way radio-telephone apparatus VHF Radioinstallation (VHF radio-telephone station with digital selective calling)",,,17* 349951,,1,7,,,,,1*8.0 1*3.0,2*20.0 1*8.0,8122,"Diesel oil, Heavy oil",103188 m3,ПГ,6947,Cat3,114.0,"IRIGA MARITIME SA  Address: Trust Company Complex, Ajeltake Road, Ajeltake Island, Majuro, Marshall Islands, MH96960 IMO: Email: Company Website:","LK VOLGA LLC  Address: Russia, 183038 Murmansk, pr. Lenina, d. 82, of. 818 IMO: 6016308 Email: sts@lkvolga.ru Company Website:","LK VOLGA LLC  Address: Russia, 183038 Murmansk, pr. Lenina, d. 82, of. 818 IMO: 6016308 Email: sts@lkvolga.ru Company Website:","LK VOLGA LLC  Address: Russia, 183038 Murmansk, pr. Lenina, d. 82, of. 818 IMO: 6016308 Email: sts@lkvolga.ru Company Website:",
BALTIC WINTER,914675,9014755,BREMEN REEFER,C6VR4,Nassau,The Commonwealth of the Bahamas,KM* Ice1 REF,,Refrigerated cargo ship,01/10/1992,Germany,1098,,,10842 MK-1969,6381 MK-1969,12890.000 t.,19458 t.,156.53 m.,156.53 m.,147.70 m.,23.00 m.,13.20 m.,9.51 m.,21.0,Diesel,Built ME: 1992 Country Construction: Germany The company has built ME: The number and power of ME: 1*12180 Mark ME:,,1 - Fixed pitched solid propeller,4,3* 1370,,REF*,-30,R22,"Automatic identification system Automatic radar plotting aids Bridge navigational watch alarm system COSPAS-SARSAT Satellite emergency position-indicating radio beacon Depth sounder Digital selective calling receiver Electronic Chart Display and Navigational System Enhanced group call receiver Equipment of Long-range identification and Tracking of Ships GMDSS ship earth station Gyro-compass Heading or Track Control System (Autopilot) Log (any type) Magnetic compass MF Radioinstallation (MF radio-telephone station with digital selective calling) NAVTEX receiver Public address system Radar Radio navigation system receiver Search and Rescue Radar Transpoder, AIS Search and Rescue Ship security alert system Simplified voyage data recorder Two-way radio-telephone apparatus VHF Radioinstallation (VHF radio-telephone station with digital selective calling) VHF radio-telephone station",,4* 16206,,,4,5,,,,Р 3 - 12.5*7.6Р 1 - 9.3*8.0,,4*18.0,1863,Heavy oil,1263 m3,,1600,Cat3,54.0,,"OST-WEST-HANDEL und Schiffahrt GmbH  Address: Breitenweg 10-12, 28195 Bremen, Germany IMO: 1687370 Email: sea@owhbb.de; avg@owhbb.de; info@owhbb.de Company Website:","OST-WEST-HANDEL und Schiffahrt GmbH  Address: Breitenweg 10-12, 28195 Bremen, Germany IMO: 1687370 Email: sea@owhbb.de; avg@owhbb.de; info@owhbb.de Company Website:","OST-WEST-HANDEL und Schiffahrt GmbH  Address: Breitenweg 10-12, 28195 Bremen, Germany IMO: 1687370 Email: sea@owhbb.de; avg@owhbb.de; info@owhbb.de Company Website:","OST-WEST-HANDEL und Schiffahrt GmbH  Address: Breitenweg 10-12, 28195 Bremen, Germany IMO: 1687370 Email: sea@owhbb.de; avg@owhbb.de; info@owhbb.de Company Website:"
DEMOKRAT LEONOV,980770,8947565,SHINN MANN No.21,UBYP9,Petropavlovsk-Kamchatskiy,Russia,(KM)* fishing vessel,,Fishing,14/03/1998,Taiwan,J071,,,880 MK-1969,264 MK-1969,481.000 t.,1180 t.,59.20 m.,59.20 m.,50.80 m.,9.00 m.,6.35 m.,3.79 m.,13.0,Diesel,Built ME: 1998 Country Construction: Japan The company has built ME: The number and power of ME: 1*1176 Mark ME: MA29GSC-5,,1 - Fixed pitched solid propeller,4,2* 360,,,-32,R22,"Automatic identification system with GLONASS COSPAS-SARSAT Satellite emergency position-indicating radio beacon Depth sounder Enhanced group call receiver GMDSS ship earth station Gyro-compass Heading or Track Control System (Autopilot) Log (any type) Magnetic compass MF/HF radio installation (MF/HF radio-telephone station with digital selective calling and telex) Public address system Radar Radio navigation system receiver Search and Rescue Radar Transpoder, AIS Search and Rescue Two-way radio-telephone apparatus VHF radio-telephone station",,5* 662,,,2,7,0,,,Р 1 - 1.6*1.6Р 1 - 2.1*2.1Р 1 - 1.3*1.3,,,263,Diesel oil,,,250,Cat2,24.0,"""OZERNOVSK FISH CANNERY PLANT # 55"", JOINT-STOCK COMPANY  Address: Russia, 683000, Petropavlovsk-Kamchatskiy, pl.Shchedrina,1 a/ya 220 IMO: Email: office@rkz55.ru Company Website:","""OZERNOVSK FISH CANNERY PLANT # 55"", JOINT-STOCK COMPANY  Address: Russia, 683000, Petropavlovsk-Kamchatskiy, pl.Shchedrina,1 a/ya 220 IMO: Email: office@rkz55.ru Company Website:","""OZERNOVSK FISH CANNERY PLANT # 55"", JOINT-STOCK COMPANY  Address: Russia, 683000, Petropavlovsk-Kamchatskiy, pl.Shchedrina,1 a/ya 220 IMO: Email: office@rkz55.ru Company Website:",,
TOPAZ CHU,160784,9812250,TOPAZ СHU,UHPC,Astrakhan,Russia,KM* R2 AUT1,,General cargo,02/10/2017,Romania,,,,3183 MK-1969,955 MK-1969,2969.000 t.,5260 t.,123.00 m.,123.00 m.,118.06 m.,16.70 m.,5.58 m.,3.00 m.,10.0,Diesel-Ele,Built ME: 2016 Country Construction: United States of America The company has built ME: The number and power of ME: 3*994 Mark ME: C32,2* 1200,2 - Swingning propeller unit,5,3* 940,,,,,"Automatic identification system Bridge navigational watch alarm system COSPAS-SARSAT Satellite emergency position-indicating radio beacon Depth sounder Electronic Chart Display and Navigational System Equipment of Long-range identification and Tracking of Ships Gyro-compass Log (any type) Magnetic compass MF/HF radio installation (MF/HF radio-telephone station with digital selective calling and telex) NAVTEX receiver Radar Rate of turn indicator Search and Rescue Radar Transpoder, AIS Search and Rescue Ship security alert system Sound reception system Two-way radio-telephone apparatus VHF radio-telephone station Voyage data recorder",,,,,1,6,,,,,,,270,Diesel oil,4695 m3,,891,Cat3,40.0,"BUE BULKERS LTD  Address: 19, Canning Street, Exchange Tower, Edinburgh, Scotland IMO: 5035534 Email: Company Website:","BUE BULKERS LTD  Address: 19, Canning Street, Exchange Tower, Edinburgh, Scotland IMO: 5035534 Email: Company Website:","Topaz Astrakhan LLC  Address: 414000, Rossiyskaya Federatsiya, g. Astrakhany, ul. Turgeneva 10, BTS ""Kristall"" etazh 5, office 502 IMO: 5741923 Email: Sergey.Parkhomenko@pomaritime.com Company Website:","Topaz Astrakhan LLC  Address: 414000, Rossiyskaya Federatsiya, g. Astrakhany, ul. Turgeneva 10, BTS ""Kristall"" etazh 5, office 502 IMO: 5741923 Email: Sergey.Parkhomenko@pomaritime.com Company Website:","Topaz Astrakhan LLC  Address: 414000, Rossiyskaya Federatsiya, g. Astrakhany, ul. Turgeneva 10, BTS ""Kristall"" etazh 5, office 502 IMO: 5741923 Email: Sergey.Parkhomenko@pomaritime.com Company Website:"
ADLER,980785,9179854,OCEAN POWER,UGPS,Bolshoy port of St.-Petersburg,Russia,KM* IA AUT1 ro-ro ship,,RoRo ship/General cargo/Container ship,01/12/1998,Germany,480,,,8811 MK-1969,2793 MK-1969,7493.000 t.,11819 t.,126.85 m.,126.85 m.,120.24 m.,20.00 m.,11.50 m.,6.65 m.,13.5,Diesel,Built ME: 1998 Country Construction: Germany The company has built ME: The number and power of ME: 1*5760 Mark ME: 12V 32E,,1 - Controllable pitch propeller,4,2* 390,,,,,"Automatic identification system Automatic identification system with GLONASS Bridge navigational watch alarm system COSPAS-SARSAT Satellite emergency position-indicating radio beacon Digital selective calling receiver Enhanced group call receiver Equipment of Long-range identification and Tracking of Ships Equipment of Long-range identification and Tracking of Ships with GLONASS GMDSS ship earth station GMDSS ship earth station with GLONASS Gyro-compass Heading or Track Control System (Autopilot) Log (any type) Magnetic compass NAVTEX receiver Public address system Radar Radio navigation system receiver Radio navigation system receiver with GLONASS Search and Rescue Radar Transpoder, AIS Search and Rescue Ship security alert system Ship security alert system with GLONASS Simplified voyage data recorder Two-way radio-telephone apparatus",1*6239 1*3985 1*1995 1*1995,,,546,2,4,,,,,,2*100,650,"Diesel oil, Heavy oil",4497 m3,ПТ,1450,Cat2,50.0,"""M Leasing"" LLC  Address: Russia, 105005 Moscow, MO Basmannyy vn.ter.g., Baumanskaya ul., d.7, str.1, of.301 IMO: Email: Company Website:","""Marine Trans Shipping"" LLC  Address: Russia, 414024 Astrakhany, ul. Naberezhnaya reki Tsareva, d. 1, of. 2 IMO: 6183435 Email: operations@tmflot.ru; vokhmyanin.a@tmflot.ru Company Website:","""Marine Trans Shipping"" LLC  Address: Russia, 414024 Astrakhany, ul. Naberezhnaya reki Tsareva, d. 1, of. 2 IMO: 6183435 Email: operations@tmflot.ru; vokhmyanin.a@tmflot.ru Company Website:","""Marine Trans Shipping"" LLC  Address: Russia, 414024 Astrakhany, ul. Naberezhnaya reki Tsareva, d. 1, of. 2 IMO: 6183435 Email: operations@tmflot.ru; vokhmyanin.a@tmflot.ru Company Website:","""Marine Trans Shipping"" LLC  Address: Russia, 414024 Astrakhany, ul. Naberezhnaya reki Tsareva, d. 1, of. 2 IMO: 6183435 Email: operations@tmflot.ru; vokhmyanin.a@tmflot.ru Company Website:"
BALTIC PEARL,914680,9008732,IVORY DAWN,C6OU9,Nassau,The Commonwealth of the Bahamas,KM* Ice1 REF,,Refrigerated cargo ship,28/11/1991,Japan,862,,,10412 MK-1969,5253 MK-1969,10713.000 t.,,150.01 m.,150.01 m.,141.00 m.,22.50 m.,13.20 m.,9.04 m.,23.3,Diesel,Built ME: 1990 Country Construction: Japan The company has built ME: The number and power of ME: 1*11220 Mark ME: 6S60MC,,1 - Fixed pitched solid propeller,4,4* 600,,REF*,-30,R22,"Automatic identification system Bridge navigational watch alarm system COSPAS-SARSAT Satellite emergency position-indicating radio beacon Depth sounder Enhanced group call receiver Equipment of Long-range identification and Tracking of Ships GMDSS ship earth station Gyro-compass HF direct-printing radio-telegraph receiver Log (any type) MF/HF radio installation (MF/HF radio-telephone station with digital selective calling and telex) NAVTEX receiver Public address system Radar Radio navigation system receiver Search and Rescue Radar Transpoder, AIS Search and Rescue Ship security alert system Simplified voyage data recorder Two-way radio-telephone apparatus VHF Radioinstallation (VHF radio-telephone station with digital selective calling)",,4* 14934,,,5,6,,,,,,2*8.0 2*18.0 2*3.0,1693,"Motor oil, Diesel oil",1483 m3,,,,,"Daily Select Traders S.A.  Address: Global Bank Tower, 18th Floor, Suite No. 1801 50th Street, Panama, Panama IMO: 6003647 Email: sps@owhbb.de Company Website:","OST-WEST-HANDEL und Schiffahrt GmbH  Address: Breitenweg 10-12, 28195 Bremen, Germany IMO: 1687370 Email: sea@owhbb.de; avg@owhbb.de; info@owhbb.de Company Website:","OST-WEST-HANDEL und Schiffahrt GmbH  Address: Breitenweg 10-12, 28195 Bremen, Germany IMO: 1687370 Email: sea@owhbb.de; avg@owhbb.de; info@owhbb.de Company Website:","OST-WEST-HANDEL und Schiffahrt GmbH  Address: Breitenweg 10-12, 28195 Bremen, Germany IMO: 1687370 Email: sea@owhbb.de; avg@owhbb.de; info@owhbb.de Company Website:","OST-WEST-HANDEL und Schiffahrt GmbH  Address: Breitenweg 10-12, 28195 Bremen, Germany IMO: 1687370 Email: sea@owhbb.de; avg@owhbb.de; info@owhbb.de Company Website:"
TERIBERKA,160799,9826079,,UAUM,Murmansk,Russia,KM* Ice2 (REF) fishing vessel,,Fishing,20/09/2017,China,LY8150,,,448 MK-1969,149 MK-1969,157.000 t.,610 t.,37.76 m.,37.76 m.,33.89 m.,9.00 m.,5.70 m.,3.20 m.,11.5,Diesel,"Built ME: 2016 Country Construction: China The company has built ME: WEICHAI HEAVY MACHINERY CO., LTD. CHONGQING BRANCH The number and power of ME: 1*800 Mark ME: CW8200ZC-102",,1 - Fixed pitched solid propeller,4,3* 250,,,-25,R507A,"Automatic identification system with GLONASS COSPAS-SARSAT Satellite emergency position-indicating radio beacon Depth sounder Digital selective calling receiver Enhanced group call receiver GMDSS ship earth station Heading or Track Control System (Autopilot) Log (any type) Magnetic compass MF/HF radio installation (MF/HF radio-telephone station with digital selective calling and telex) NAVTEX receiver Public address system Radar Radio navigation system receiver Radio navigation system receiver with GLONASS Search and Rescue Radar Transpoder, AIS Search and Rescue Transmitting Heading Device Two-way radio-telephone apparatus VHF Radioinstallation (VHF radio-telephone station with digital selective calling)",,1* 241,,,2,4,,,,,,1*1.5,100,Diesel oil,0 m3,,206,Cat2,22.0,"""MURMAN"" FISHING COLLECTIVE  Address: Russia, 183038 Murmanskaya obl., Murmansk, ul. Tralovaya, d. 83, korp. 2 IMO: 1562456 Email: teriberka@rkmurman.ru Company Website:","""MURMAN"" FISHING COLLECTIVE  Address: Russia, 183038 Murmanskaya obl., Murmansk, ul. Tralovaya, d. 83, korp. 2 IMO: 1562456 Email: teriberka@rkmurman.ru Company Website:",,,
