,Name of vessel,RS No,IMO No,Previous name,Call sign,Port of registry,Flag,RS Class notation,Major conversion/modernization,Basic type,Date of build,Country of build,Building number,Date of Build Major Portion,Major Portion,Gross tonnage,Tonnage,Deadweight,Displacement,Length overall (extreme),Moulded lenght,Rule length,Breadth,Depth,Draught,Speed,Type of power plant,Main Engine,The number and power of propulsion motors,"Propeller number, type",Number of blades,Number and power of generators,Main boilers,Refrigerating plant,Working temperature,Refrigerants,Radio navigational equipment,Number and capacity of cargo holds,Refrigerated cargo spaces,Cargo tanks,Number and type of containers,Number of decks,Number o bulkheads,"Number of passengers, berthed","Number of passengers, unberthed",Special personnel,Cargo hatches (number and clear dimensions),Derricks,Cranes,FO bunkers,FO types,Water ballast,Heating coils,Equipment Number,Grade of anchor chains,Diameter of anchor chains,Owner,Shipowner,Operator,ISM Manager,MLC Shipowner
23,MZ-145,141052,,,,Astrakhan,Russia,KM(*) [1] R3 tug,,Tug,19/06/1968,USSR,145,,,55,16,11.000 t.,80 t.,20.26 m.,20.26 m.,19.50 m.,6.30 m.,1.80 m.,1.03 m.,9.0,Diesel,"Built ME: 2003 Country Construction: USSR The company has built ME: BARNAULTRANSMASH, JOINT-STOCK COMPANY The number and power of ME: 1*110 Mark ME: 6CHSP 15/18Built ME: 1987 Country Construction: USSR The company has built ME: BARNAULTRANSMASH, JOINT-STOCK COMPANY The number and power of ME: 1*110 Mark ME: 6CHSP 15/18",,2 - Fixed pitched solid propeller,4,1* 14 2* 1,,,,,"COSPAS-SARSAT Satellite emergency position-indicating radio beacon Digital selective calling receiver Magnetic compass NAVTEX receiver Radar Search and Rescue Radar Transpoder, AIS Search and Rescue Two-way radio-telephone apparatus VHF Radioinstallation (VHF radio-telephone station with digital selective calling)",,,,,1,4,0,0,0,,,,0,,0 m3,,120,Cat1,16.0,"GIDROTRANS LLC  Address: Russia, 416425 Astrakhanskaya obl., Limanskiy r-n, s. Olya, ul. Chkalova, d. 27 IMO: Email: 585709@mail.ru Company Website:",,,,
24,GOSNADZOR,141066,,ГОСВОДНАДЗОР,,Astrakhan,Russia,KM(*) L3 [1] R3-RSN,,Patrol vessel,30/08/1985,USSR,71,,,80,24,15.000 t.,86 t.,23.10 m.,23.10 m.,19.68 m.,6.00 m.,2.80 m.,1.80 m.,12.0,Diesel,"Built ME: 1985 Country Construction: USSR The company has built ME: BARNAULTRANSMASH, JOINT-STOCK COMPANY The number and power of ME: 1*220 Mark ME: 12CHSP 15/18Built ME: 2008 Country Construction: Russia The company has built ME: BARNAULTRANSMASH, JOINT-STOCK COMPANY The number and power of ME: 1*220 Mark ME:",,2 - Fixed pitched solid propeller,4,1* 16 2* 1,,,,,"COSPAS-SARSAT Satellite emergency position-indicating radio beacon Depth sounder Magnetic compass MF Radioinstallation (MF radio-telephone station with digital selective calling) NAVTEX receiver Radar Radio navigation system receiver Search and Rescue Radar Transpoder, AIS Search and Rescue Two-way radio-telephone apparatus UHF Radio-telephone station VHF Radioinstallation (VHF radio-telephone station with digital selective calling)",,,,,1,4,0,0,0,,,,0,Diesel oil,0 m3,,0,Cat1,13.0,"FSBU ""SEVKASPTEKHMORDIREKTS""  Address: Russia, 414018 Astrakhany, ul. 4-ya Dorozhnaya, d. 106, lit. A, pom. 5 IMO: Email: seains@mail.ru Company Website:",,,,
25,VOLNA,141120,,,-,Astrakhan,Russia,KM(*) [1] R3,,Diving vessel,26/08/1992,Russia,,,,35,10,7.000 t.,0 t.,21.20 m.,21.20 m.,0.00 m.,4.12 m.,2.25 m.,1.24 m.,11.0,Diesel,Built ME: 2008 Country Construction: Russia The company has built ME: The number and power of ME: 1*220 Mark ME: YAMZ-238НD5,,1 - Controllable pitch propeller,4,1* 25,,,,,"Automatic identification system with GLONASS COSPAS-SARSAT Satellite emergency position-indicating radio beacon Depth sounder Magnetic compass NAVTEX receiver Radar Radio navigation system receiver with GLONASS Search and Rescue Radar Transpoder, AIS Search and Rescue Two-way radio-telephone apparatus VHF Radioinstallation (VHF radio-telephone station with digital selective calling)",,,,,1,5,0,0,0,,,,3,Diesel oil,0 m3,,0,,12.5,"RUSSIAN FEDERATION  Address: Russia, Moscow IMO: 1253128 Email: Company Website:","Federal State Budgetary Institution ""Marine Rescue Service""  Address: Russia, 125993 Moscow, ul. Petrovka, 3/6 IMO: 5715105 Email: info@morspas.com Company Website: morspas.com","FBI ""Gosmorspassluzhba Russia"" Caspian Branch  Address: Russia, 414016 Astrakhany, ul. Vodnikov, 22 IMO: Email: skuasptr@mail.ru Company Website:",,
26,NMS-17,141093,,,-,Astrakhan,Russia,KM(*) R3 oil tanker(>60°С),,Oil tanker,08/08/1989,USSR,17,,,36,11,23.000 t.,71 t.,18.95 m.,18.95 m.,18.00 m.,4.50 m.,2.40 m.,1.68 m.,5.0,Diesel,Built ME: 1989 Country Construction: USSR The company has built ME: The number and power of ME: 1*99 Mark ME: YAM3-236SR2-1,,1 - Fixed pitched solid propeller,4,1* 1,,,,,,,,2* 9,,1,9,0,0,0,,,,2,Diesel oil,0 m3,,38,Cat1,11.0,"RUSSIAN FEDERATION  Address: Russia, Moscow IMO: 1253128 Email: Company Website:","Federal State Budgetary Institution ""Marine Rescue Service""  Address: Russia, 125993 Moscow, ul. Petrovka, 3/6 IMO: 5715105 Email: info@morspas.com Company Website: morspas.com",,,
27,VRD-1189,170148,,,,Vladivostok,Russia,KM(*) R3,,Diving vessel,22/10/1980,USSR,,,,32,0,7.000 t.,39 t.,21.00 m.,21.00 m.,19.00 m.,3.98 m.,2.10 m.,1.16 m.,10.4,Diesel,"Built ME: 2007 Country Construction: USSR The company has built ME: BARNAULTRANSMASH, JOINT-STOCK COMPANY The number and power of ME: 1*110 Mark ME: 3D6S2-011",,1 - Fixed pitched solid propeller,4,1* 1,,,,,"COSPAS-SARSAT Satellite emergency position-indicating radio beacon Magnetic compass NAVTEX receiver Radio navigation system receiver Search and Rescue Radar Transpoder, AIS Search and Rescue Two-way radio-telephone apparatus VHF Radioinstallation (VHF radio-telephone station with digital selective calling)",,,,,1,6,0,0,0,,,,2,Diesel oil,0 m3,,17,Cat1,12.5,"RUSSIAN FEDERATION  Address: Russia, Moscow IMO: 1253128 Email: Company Website:","FSFI ""Far-Eastern EDERO""  Address: Russia, 690012 Vladivostok, a/ya 12/119 IMO: 5755542 Email: knm@eoasr.ru;dv@eoasr.ru Company Website: www.eoasr.ru",,,
28,МЕРКУРИЙ,170160,,КАПИТАН ГАЙДАЙ,UFMW,Vladivostok,Russia,KM(*) L3 R2 tug,,Tug,31/10/1989,,,,,92,0,15.000 t.,0 t.,22.00 m.,22.00 m.,0.00 m.,6.00 m.,3.15 m.,0.00 m.,0.0,,,,,0,,,,,,,,,,,0,0,0,0,0,,,,0,,0 m3,,0,,0.0,"OOO ""VOSTOCHNYY LOTSMAN""  Address: Russia, 690109 Vladivostok-109, a/ya 40 IMO: Email: eastern-pilot@neptunvld.com Company Website:","OOO ""VOSTOCHNYY LOTSMAN""  Address: Russia, 690109 Vladivostok-109, a/ya 40 IMO: Email: eastern-pilot@neptunvld.com Company Website:",,,
29,КАПИТАН ЦАРЬКОВ,170162,,,UHCX,Vanino,Russia,KM(*) L3 R2 tug,,Tug,31/03/1989,Poland,9,,,91 MK-1969,27 MK-1969,15.000 t.,149 t.,22.00 m.,22.00 m.,20.45 m.,6.00 m.,3.15 m.,2.25 m.,8.5,Diesel,Built ME: 2001 Country Construction: United States of America The company has built ME: The number and power of ME: 2*224 Mark ME: 3406C-TA,,2 - Fixed pitched solid propeller,4,2* 28,,,,,"COSPAS-SARSAT Satellite emergency position-indicating radio beacon Depth sounder GMDSS ship earth station Magnetic compass MF/HF radio installation (MF/HF radio-telephone station with digital selective calling and telex) NAVTEX receiver Public address system Radar Radio navigation system receiver Search and Rescue Radar Transpoder, AIS Search and Rescue Two-way radio-telephone apparatus VHF Radioinstallation (VHF radio-telephone station with digital selective calling)",,,,,1,3,0,0,0,,,,0,Diesel oil,0 m3,,89,Cat2,17.5,"OOO ""INTO""  Address: Russia, 143900 Moskovskaya oblasty, g. Balashikha, shosse Entuziastov, 5a, pomeshchenie 1, litera A IMO: Email: into-ooo@mail.ru Company Website:","""BEREG UDACHI"" LLC  Address: Russia, 690001 Primorskiy kr. Vladivostok, ul. Ekipazhnaya, d. 1 IMO: 6062620 Email: officepm@rimsco.ru; bereg_udachi@mail.ru Company Website:",,,
30,ВОСТОК-193,170351,,,,Vladivostok,Russia,KM(*) R3,,General cargo/Barge,26/10/1993,Russia,193,,,19,5,21.000 t.,39 t.,16.50 m.,16.50 m.,13.00 m.,4.20 m.,1.35 m.,0.90 m.,8.2,Diesel,"Built ME: 1992 Country Construction: Russia The company has built ME: BARNAULTRANSMASH, JOINT-STOCK COMPANY The number and power of ME: 1*173 Mark ME: 3D6N-235",,1 - Fixed pitched solid propeller,4,1* 1,,,,,"Search and Rescue Radar Transpoder, AIS Search and Rescue Two-way radio-telephone apparatus",,,,,1,6,0,0,0,,,,1,Diesel oil,0 m3,,30,Cat1,12.5,"FAR-EASTERN SHIPPING COMPANY PLC  Address: Russia, 690091 Vladivostok, ul. Aleutskaya, d. 15 IMO: Email: fesco@fesco.ru; APyshnyy@fesco.com Company Website: www.fesco.ru","FAR-EASTERN SHIPPING COMPANY PLC  Address: Russia, 690091 Vladivostok, ul. Aleutskaya, d. 15 IMO: Email: fesco@fesco.ru; APyshnyy@fesco.com Company Website: www.fesco.ru",,,
31,ГЕЛИЙ,170389,,,,Vladivostok,Russia,KM(*) R3,,Workboat,05/01/1982,USSR,2186,,,32,0,10.000 t.,42 t.,21.00 m.,21.00 m.,19.00 m.,3.98 m.,2.10 m.,1.16 m.,10.4,Diesel,"Built ME: 2011 Country Construction: Russia The company has built ME: BARNAULTRANSMASH, JOINT-STOCK COMPANY The number and power of ME: 1*173 Mark ME: 3D6N-150",,1 - Fixed pitched solid propeller,4,1* 11 1* 1,,,,,"COSPAS-SARSAT Satellite emergency position-indicating radio beacon Magnetic compass Radio navigation system receiver Search and Rescue Radar Transpoder, AIS Search and Rescue Two-way radio-telephone apparatus VHF Radioinstallation (VHF radio-telephone station with digital selective calling)",,,,,1,7,0,0,0,,,,2,Diesel oil,0 m3,,0,Cat1,13.0,"RUSSIAN FEDERATION  Address: Russia, Moscow IMO: 1253128 Email: Company Website:","FEDERALNOE GOSUDARSTVENNOE BYUDZHETNOE UCHREZHDENIE ""ADMINISTRATSIYA MORSKIKH PORTOV PRIMORSKOGO KRAYA I VOSTOCHNOY ARKTIKI""  Address: Russia, 690003 Vladivostok, ul. Nizhneportovaya, 3 IMO: Email: amp@pma.ru; mikhailik@pma.ru Company Website: www.pma.ru",,,
32,GAKKELY,170405,,,UEAY,Vladivostok,Russia,KM(*) Ice1 R2 fishing vessel,,Fishing,28/12/2009,Russia,119-05,,,68 MK-1969,20 MK-1969,34.000 t.,143 t.,22.65 m.,22.65 m.,20.04 m.,5.70 m.,2.90 m.,1.85 m.,7.0,Diesel,"Built ME: 2009 Country Construction: Korea, DPR The company has built ME: HYUNDAI DOOSAN INFRACORE CO., LTD The number and power of ME: 1*169 Mark ME: MD136TI",,1 - Fixed pitched solid propeller,4,1* 68,,,-4,R22,"COSPAS-SARSAT Satellite emergency position-indicating radio beacon Depth sounder Magnetic compass NAVTEX receiver Radar Radio navigation system receiver Search and Rescue Radar Transpoder, AIS Search and Rescue Two-way radio-telephone apparatus VHF Radioinstallation (VHF radio-telephone station with digital selective calling)",,1* 60,,,1,4,0,0,0,,,,9,Diesel oil,0 m3,,75,Cat1,14.0,"DALMOREPRODUKT JSC  Address: Russia, 690091 Primorskiy kr., Vladivostok, ul. Pologaya, d. 53, kab. 308 IMO: 1445277 Email: krab@dmp.ru Company Website: www.dmp.ru","DALMOREPRODUKT JSC  Address: Russia, 690091 Primorskiy kr., Vladivostok, ul. Pologaya, d. 53, kab. 308 IMO: 1445277 Email: krab@dmp.ru Company Website: www.dmp.ru",,,
33,PALTUSOVO,172096,,ВЕРА,UGNU,Nevelsk,Russia,(KM)* R3 fishing vessel,,Fishing,01/01/1990,Japan,HKZ-16195,,,29,8,19.000 t.,62 t.,21.23 m.,-,16.26 m.,4.09 m.,1.28 m.,1.13 m.,0.0,Diesel,Built ME: 1987 Country Construction: Japan The company has built ME: The number and power of ME: 1*103 Mark ME: 6MC-145AXE,,1 - Fixed pitched solid propeller,3,,,,,,,1*18 1*16 1*7,,,,0,10,0,0,0,,,,7,,0 m3,,30,Wire,48.0,"PCF Yuzhno-Kyrilsky Ryibocombinat Co. Ltd.  Address: Russia, 693020, Yuzhno-Sakhalinsk, ul. Karla Marksa, 20, office 112 IMO: 1542127 Email: yukr@yukr.ru Company Website:","PCF Yuzhno-Kyrilsky Ryibocombinat Co. Ltd.  Address: Russia, 693020, Yuzhno-Sakhalinsk, ul. Karla Marksa, 20, office 112 IMO: 1542127 Email: yukr@yukr.ru Company Website:",,,
34,ANNA,172280,,,UFOA,Nevelsk,Russia,KM(*) R2 fishing vessel,,Fishing,01/01/1983,Japan,,,,69,20,32.000 t.,126 t.,26.07 m.,26.07 m.,19.40 m.,4.76 m.,1.94 m.,1.63 m.,10.0,Diesel,"Built ME: 1983 Country Construction: Japan The company has built ME: YANMAR POWER TECHNOLOGY CO., LTD. The number and power of ME: 1*397 Mark ME: S185ST",,1 - Fixed pitched solid propeller,3,2* 32,,,,,"COSPAS-SARSAT Satellite emergency position-indicating radio beacon Heading or Track Control System (Autopilot) Magnetic compass NAVTEX receiver Radar Radio navigation system receiver Search and Rescue Radar Transpoder, AIS Search and Rescue Two-way radio-telephone apparatus VHF radio-telephone station",,,,,1,5,0,0,0,,,,0,Diesel oil,0 m3,,48,Wire,30.0,"Albakor, JSC  Address: Russia 694500 Sakhalinskaya oblasty, Kurilskiy rayon, pgt. Yuzhno-Kurilsk, kvartal Ilyicheva, d. 1-A IMO: Email: yakor01@mail.ru Company Website:","Albakor, JSC  Address: Russia 694500 Sakhalinskaya oblasty, Kurilskiy rayon, pgt. Yuzhno-Kurilsk, kvartal Ilyicheva, d. 1-A IMO: Email: yakor01@mail.ru Company Website:",,,
35,BYSTRYY,172286,,,UBJH,Kholmsk,Russia,(KM)* R3 fishing vessel,,Fishing,01/01/1986,Japan,,,,46,13,13.000 t.,61 t.,18.56 m.,-,17.35 m.,4.13 m.,1.54 m.,1.35 m.,10.0,Diesel,Built ME: 1986 Country Construction: Japan The company has built ME: The number and power of ME: 1*551 Mark ME: UM6WG1TCG,,1 - Fixed pitched solid propeller,3,,,,,,"COSPAS-SARSAT Satellite emergency position-indicating radio beacon Heading or Track Control System (Autopilot) Magnetic compass MF Radioinstallation (MF radio-telephone station with digital selective calling) NAVTEX receiver Radar Radio navigation system receiver Search and Rescue Radar Transpoder, AIS Search and Rescue Two-way radio-telephone apparatus VHF Radioinstallation (VHF radio-telephone station with digital selective calling)",,,,,1,6,0,0,0,,,,0,,0 m3,,0,Cat1,11.0,"OOO ""Laguna""  Address: Russia, 693000 Sakhalinskaya obl., Yuzhno-Sakhalinsk, ul. Tikhookeanskaya, d. 34, of. 2 IMO: Email: ostrov_ofice@mail.ru Company Website:","OOO ""Laguna""  Address: Russia, 693000 Sakhalinskaya obl., Yuzhno-Sakhalinsk, ul. Tikhookeanskaya, d. 34, of. 2 IMO: Email: ostrov_ofice@mail.ru Company Website:",,,
36,BAYKAL,172301,,РСХ 85-91,UGSY,Kholmsk,Russia,(KM)* R3 fishing vessel,,Fishing,01/10/1989,Japan,,,,44,13,11.000 t.,76 t.,22.19 m.,-,18.52 m.,4.20 m.,1.49 m.,1.24 m.,10.0,Diesel,Built ME: 1989 Country Construction: Japan The company has built ME: The number and power of ME: 1*558 Mark ME: S6RF-MTK,,1 - Fixed pitched solid propeller,3,1* 80,,,,,"COSPAS-SARSAT Satellite emergency position-indicating radio beacon Digital selective calling receiver Gyro-compass Heading or Track Control System (Autopilot) Magnetic compass MF Radioinstallation (MF radio-telephone station with digital selective calling) NAVTEX receiver Radar Radio navigation system receiver Search and Rescue Radar Transpoder, AIS Search and Rescue Two-way radio-telephone apparatus",,,,,1,6,0,0,0,,,,7,Diesel oil,0 m3,,54,Wire,60.0,"SALUS CO LTD  Address: Russia, 693010 Yuzhno-Sakhalinsk, ul. Komsomolskaya, d. 154, office 205 IMO: Email: korsan-200852@mail.ru; salus65@mail.ru Company Website:","SALUS CO LTD  Address: Russia, 693010 Yuzhno-Sakhalinsk, ul. Komsomolskaya, d. 154, office 205 IMO: Email: korsan-200852@mail.ru; salus65@mail.ru Company Website:",,,
37,15 VAHAU MARU,172316,,,UIWW,Nevelsk,Russia,(KM)* R3 fishing vessel,,Fishing,01/01/1987,Japan,,,,41,12,12.000 t.,75 t.,22.38 m.,22.38 m.,17.94 m.,4.08 m.,1.55 m.,1.30 m.,11.0,Diesel,Built ME: 1987 Country Construction: Japan The company has built ME: The number and power of ME: 1*481 Mark ME: 6NSD,,,3,,,,,,"COSPAS-SARSAT Satellite emergency position-indicating radio beacon Digital selective calling receiver Magnetic compass MF Radioinstallation (MF radio-telephone station with digital selective calling) NAVTEX receiver Radio navigation system receiver Search and Rescue Radar Transpoder, AIS Search and Rescue Two-way radio-telephone apparatus VHF Radioinstallation (VHF radio-telephone station with digital selective calling)",,,,,1,5,0,0,0,,,,0,Diesel oil,0 m3,,52,Wire,12.0,"MORION Co., Ltd  Address: Russia, 693010 Sakhalinskaya oblasty, Yuzhno-Sakhalinsk, ul. Komsomolskaya, d. 154, of.205 IMO: 1724650 Email: salus65@mail.ru Company Website:","MORION Co., Ltd  Address: Russia, 693010 Sakhalinskaya oblasty, Yuzhno-Sakhalinsk, ul. Komsomolskaya, d. 154, of.205 IMO: 1724650 Email: salus65@mail.ru Company Website:",,,
38,ЛК-106,170185,,,,Vladivostok,Russia,KM(*) L3 R3,,Workboat,30/12/1974,USSR,,,,38,0,10.000 t.,57 t.,20.18 m.,20.18 m.,17.55 m.,4.87 m.,2.52 m.,0.00 m.,0.0,Diesel,Built ME: 1995 Country Construction: Japan The company has built ME: The number and power of ME: 1*200 Mark ME: MD690KUH,,,0,,,,,,"COSPAS-SARSAT Satellite emergency position-indicating radio beacon Magnetic compass Radar Radio navigation system receiver Search and Rescue Radar Transpoder, AIS Search and Rescue Two-way radio-telephone apparatus VHF Radioinstallation (VHF radio-telephone station with digital selective calling)",,,,,0,0,0,0,0,,,,9,Diesel oil,0 m3,,38,Cat1,14.0,"OOO ""Dalnevostochnaya Intendantskaya kompaniya""  Address: Russia, 690011 Primorskiy kr., Vladivostok, ul. Montazhnaya, d. 3, kv. 10 IMO: Email: dikkdk@mail.ru Company Website:","OOO ""Dalnevostochnaya Intendantskaya kompaniya""  Address: Russia, 690011 Primorskiy kr., Vladivostok, ul. Montazhnaya, d. 3, kv. 10 IMO: Email: dikkdk@mail.ru Company Website:",,,
39,LK-12,170071,,,,Vladivostok,Russia,KM(*) L3 R3,,Pilot,16/06/1965,USSR,12,,,51,0,10.000 t.,47 t.,19.80 m.,-,18.00 m.,4.66 m.,2.52 m.,1.55 m.,10.5,Diesel,"Built ME: 1998 Country Construction: Russia The company has built ME: BARNAULTRANSMASH, JOINT-STOCK COMPANY The number and power of ME: 1*220 Mark ME: 12CHSP 15/18",,1 - Fixed pitched solid propeller,4,1* 11 1* 1,,,,,"COSPAS-SARSAT Satellite emergency position-indicating radio beacon Magnetic compass Radar Radio navigation system receiver Search and Rescue Radar Transpoder, AIS Search and Rescue Two-way radio-telephone apparatus VHF Radioinstallation (VHF radio-telephone station with digital selective calling)",,,,,1,5,0,0,0,,,,0,Diesel oil,0 m3,,50,Cat1,13.0,"RUSSIAN FEDERATION  Address: Russia, Moscow IMO: 1253128 Email: Company Website:","FEDERALNOE GOSUDARSTVENNOE BYUDZHETNOE UCHREZHDENIE ""ADMINISTRATSIYA MORSKIKH PORTOV PRIMORSKOGO KRAYA I VOSTOCHNOY ARKTIKI""  Address: Russia, 690003 Vladivostok, ul. Nizhneportovaya, 3 IMO: Email: amp@pma.ru; mikhailik@pma.ru Company Website: www.pma.ru",,,
40,ЛОТОС,170403,,,,Nakhodka,Russia,(KM)* [1] R3 passenger ship,,Passenger unberthed,01/07/1985,Japan,,,,72,21,21.000 t.,0 t.,22.73 m.,24.80 m.,0.00 m.,5.20 m.,1.90 m.,0.90 m.,0.0,Diesel,Built ME: 1985 Country Construction: United States of America The company has built ME: The number and power of ME: 1*441 Mark ME: GM12V71TI,,,0,,,,,,"Automatic identification system with GLONASS Bridge navigational watch alarm system COSPAS-SARSAT Satellite emergency position-indicating radio beacon Radio navigation system receiver Search and Rescue Radar Transpoder, AIS Search and Rescue Transmitting Heading Device Two-way radio-telephone apparatus VHF Radioinstallation (VHF radio-telephone station with digital selective calling)",,,,,0,0,0,157,0,,,,0,,0 m3,,0,,0.0,"""Akmarin"" LLC  Address: Russia, 690074 Primorskiy kr., Vladivostok, ul. Posadskaya, d. 20, of. 407 IMO: Email: pereprava.ipk@gmail.com Company Website:","""Akmarin"" LLC  Address: Russia, 690074 Primorskiy kr., Vladivostok, ul. Posadskaya, d. 20, of. 407 IMO: Email: pereprava.ipk@gmail.com Company Website:",,,
41,ЛОЦМАН-1,170072,,,,Vladivostok,Russia,KM(*) L3 [1] R3,,Pilot,01/08/1981,,,,,64,0,12.000 t.,86 t.,23.10 m.,23.10 m.,20.50 m.,5.80 m.,2.80 m.,1.80 m.,12.0,Diesel,"Built ME: 2009 Country Construction: Russia The company has built ME: BARNAULTRANSMASH, JOINT-STOCK COMPANY The number and power of ME: 2*220 Mark ME: 3D12A1-041",,2 - Fixed pitched solid propeller,8,1* 19,,,,,"COSPAS-SARSAT Satellite emergency position-indicating radio beacon Magnetic compass Radar Radio navigation system receiver Search and Rescue Radar Transpoder, AIS Search and Rescue Two-way radio-telephone apparatus VHF Radioinstallation (VHF radio-telephone station with digital selective calling)",,,,,1,4,0,0,0,,,,9,Diesel oil,0 m3,,70,Cat1,13.0,"PUBLICHNOE AKTSIONERNOE OBSHCHESTVO ""VLADIVOSTOKSKIY MORSKOY TORGOVYY PORT""  Address: Russia, 690950 Vladivostok, ul. Strelnikova, 9 IMO: 1394090 Email: vmtp@vmtp.ru;MSmoleychuk@fesco.com Company Website:","PUBLICHNOE AKTSIONERNOE OBSHCHESTVO ""VLADIVOSTOKSKIY MORSKOY TORGOVYY PORT""  Address: Russia, 690950 Vladivostok, ul. Strelnikova, 9 IMO: 1394090 Email: vmtp@vmtp.ru;MSmoleychuk@fesco.com Company Website:","""PORTOVYY FLOT"", JOINT-STOCK COMPANY  Address: Russia, 690600 Primorskiy kr., Vladivostok, ul. Strelnikova, d. 9 IMO: Email: vld-portoflot@vmtp.ru Company Website:",,
42,МНМС-36 ПИНГВИН,172198,,,,Vladivostok,Russia,KM(*) R3 oil recovery ship,,Oil recovery ship,01/09/1980,USSR,,,,46,14,22.000 t.,36 t.,17.71 m.,17.71 m.,17.00 m.,4.30 m.,2.40 m.,1.67 m.,6.0,Diesel,"Built ME: 1980 Country Construction: USSR The company has built ME: ""BOGORODSK MACHINERY WORKS"", JOINT-STOCK COMPANY The number and power of ME: 1*99 Mark ME: YAM3-236SR2-1",,1 - Water-jet propeller,4,1* 1,,,,,"COSPAS-SARSAT Satellite emergency position-indicating radio beacon Magnetic compass Radio navigation system receiver Search and Rescue Radar Transpoder, AIS Search and Rescue Two-way radio-telephone apparatus VHF Radioinstallation (VHF radio-telephone station with digital selective calling)",,,,,1,4,0,0,0,,,,2,Diesel oil,0 m3,,20,Wire,80.0,"RUSSIAN FEDERATION  Address: Russia, Moscow IMO: 1253128 Email: Company Website:","FGUP ""Rosmorport"" Vostochnoe upravlenie Dalnevostochnogo basseynovogo filiala  Address: Russia, 690012 Vladivostok, ul. Kalinina, d. 182 IMO: Email: mail@dvf.rosmorport.ru Company Website:",,,
